0,1,2,3,4,5,6,7,8,9,10,11
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.9998747,0.015823992,-0.0004783951,0.11214927,-0.01582341,0.9998741,0.0011958701,0.01641335,0.00049725827,-0.0011881504,0.99999917,0.003906855
0.9993221,0.036814976,-0.00013789126,0.25871632,-0.036814205,0.9993151,0.003748095,-0.0024694672,0.00027578278,-0.0037404776,0.999993,-0.0036415705
0.99797124,0.06364694,0.0016253163,0.41162413,-0.06365523,0.99795574,0.005690515,-0.021867154,-0.00125981,-0.0057824296,0.9999826,-0.006628386
0.9952697,0.09705281,0.0043631736,0.5875843,-0.09707574,0.9952624,0.0053929924,-0.061729282,-0.0038190978,-0.0057910397,0.99997604,-0.009756095
0.9909301,0.13422939,0.006333074,0.7901429,-0.13424648,0.99094516,0.0023566263,-0.1295368,-0.005959401,-0.0031854443,0.99997723,-0.0086652115
0.9846585,0.17434904,0.007080243,0.97896695,-0.17434868,0.98468375,-0.0006712626,-0.17613134,-0.007088834,-0.0005734656,0.9999748,-0.002065789
0.9759954,0.21762535,0.008490003,1.1936969,-0.21762589,0.97603184,-0.000868751,-0.25153127,-0.008475574,-0.0009997461,0.9999637,-0.0067330203
0.96410394,0.26525286,0.01202287,1.4055369,-0.26526684,0.964175,-0.00044262188,-0.3324406,-0.011709555,-0.002762534,0.99992776,-0.016620653
0.94983727,0.3122015,0.018424146,1.6471317,-0.31218067,0.95001405,-0.0040670997,-0.45866215,-0.018772952,-0.0018885778,0.99982214,-0.025363341
0.93255514,0.36023483,0.023914179,1.8664291,-0.36000025,0.9328527,-0.013626892,-0.5692369,-0.027217288,0.00409872,0.9996213,-0.012288268
0.91142863,0.41057798,0.02690048,2.096135,-0.41018248,0.9118032,-0.019114258,-0.71318626,-0.03237584,0.0063871806,0.99945545,-0.011410334
0.88645256,0.4618346,0.030176949,2.3485541,-0.46138012,0.8869536,-0.021016873,-0.8886993,-0.036471877,0.004707421,0.9993237,-0.018485874
0.85798985,0.51251155,0.0344263,2.5687387,-0.5120099,0.8586782,-0.022747494,-1.0454447,-0.041219477,0.0018905133,0.9991485,-0.037260406
0.82589245,0.56264716,0.03646265,2.8104472,-0.5619532,0.8266927,-0.028065275,-1.2594398,-0.045934267,0.002688602,0.99894094,-0.042681195
0.7900024,0.61200905,0.03661606,3.0330465,-0.6110951,0.7908392,-0.033704393,-1.475592,-0.04958483,0.004250663,0.998761,-0.0483193
